problem,optimizer,run_idx,optimality_gap
Laske,fides,1,102.89696701958474
Laske,fides,1,49.91279782373152
Laske,fides,1,89.06295623731648
Laske,fides,1,88.18476323907134
Laske,fides,1,217.74536104072808
Laske,fides,1,88.26944949132348
Laske,fides,1,101.37215835259838
Laske,fides,1,60.26365039013035
Laske,fides,1,43.32592820028208
Laske,fides,1,95.2759679935192
Laske,fides,1,131.60484691218994
Laske,fides,1,125.27747628990494
Laske,fides,1,99.18146318296021
Laske,fides,1,110.29090700049449
Laske,fides,1,93.90160317541392
Laske,fides,1,83.44500060044771
Laske,fides,1,86.31393782269703
Laske,fides,1,58.84766890190667
Laske,fides,1,49.98427804339792
Laske,fides,1,99.71090599645203
Laske,fides,1,103.49794007906445
Laske,fides,1,68.29959607590763
Laske,fides,1,138.04591779762745
Laske,fides,1,23.321014152477915
Laske,fides,1,267.7529433751912
Laske,fides,1,57.3025310985152
Laske,fides,1,115.85063282371266
Laske,fides,1,172.3345937812524
Laske,fides,1,99.18148492141353
Laske,fides,1,49.82338371375431
Laske,fides,1,7.424881722586122
Laske,fides,1,2688990.5607974026
Laske,fides,1,43.3259284172093
Laske,fides,1,58.8478979997999
Laske,fides,1,88.43612780497142
Laske,fides,1,106.82346861541919
Laske,fides,1,103.49757980306583
Laske,fides,1,115.85061542992923
Laske,fides,1,73.70159221463814
Laske,fides,1,140.88473134847595
Laske,fides,1,6438.879734911358
Laske,fides,1,61.04332241419519
Laske,fides,1,96.62993207166778
Laske,fides,1,171996629697.1183
Laske,fides,1,102.89684675436393
Laske,fides,1,103.4977090785286
Laske,fides,1,88.1934062473216
Laske,fides,1,118.95460862278526
Laske,fides,1,212458.37465874717
Laske,fides,1,94.41163348183801
Laske,fides,1,35.919759365283255
Laske,fides,1,92.87455223768512
Laske,fides,1,95.34065254059271
Laske,fides,1,5.673812211171025e-07
Laske,fides,1,57.302545007881065
Laske,fides,1,92.5460394093817
Laske,fides,1,86.31215487586945
Laske,fides,1,86.31442340798367
Laske,fides,1,83.91010450040335
Laske,fides,1,118.1047990023028
Laske,fides,1,96.6421298611013
Laske,fides,1,138.04628666978113
Laske,fides,1,99.18148247958527
Laske,fides,1,83.50695501097465
Laske,fides,1,98.95207470339523
Laske,fides,1,14.129769611448182
Laske,fides,1,103.49746425265954
Laske,fides,1,115.85039428279896
Laske,fides,1,125.27732599928515
Laske,fides,1,27.0355799034906
Laske,fides,1,91.28492198514022
Laske,fides,1,83.50695679089915
Laske,fides,1,132.14847708760533
